,,,,,,,O (90),,,,,,G (-90),,,,,,R (90),,,,,,Y (-90),,,,,,O (90),,,,,,Y (-90),,,,,,O (-90),,,,,,G (180),,,,,,O (180),,,,,,G (-90),,,,,,O (180),,,,,,G (-90),,,,,,W (-90),,,,,,G (-90),,,,,,O (180),,,,,,B (-90),,,,,,R (-90),,,,,,O (-90),,,,,,B (-90),,,,,,W (-90),,,,
B0:B3,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0
Y2:Y1,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Y8:Y5,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Y6:Y7,1,1,1,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,1,0,0,0,,1,1,1,0,0,,0,0,0,0,0
Y0:Y3,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,1,1,0,0,,0,1,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
W1:W4,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
W5:W4,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0
W7:W4,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,1,1,1,0,0
W3:W4,1,1,1,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,1,1,0,0,,1,1,1,0,0,,0,1,0,0,0
O1:O4,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,0,0,0,0
